order_id,customer_id,product,category,price,quantity,discount_percent,total_amount,city,region,store,sales_channel,size,payment_method,order_date,rating
76,1494,Running Shoes,Footwear,5433.0,2.0,29.0,7714.86,Delhi,West,Puma Store C,Unknown,XL,Cash,2023-05-29,2.0
77,2132,Cap,Accessories,1496.0,1.0,15.0,1466.08,Delhi,North,Puma Store C,Online,Unknown,UPI,2023-05-18,3.0
78,1220,Jacket,Apparel,1806.0,4.0,6.0,6790.56,Delhi,South,Puma Store B,Online,L,Unknown,2023-08-15,3.0
79,2392,Sneakers,Footwear,8087.0,1.0,24.0,6146.12,Pune,West,Puma Store B,Store,M,Cash,2023-08-07,4.0
80,4472,Shorts,Apparel,1034.0,1.0,24.0,785.84,Pune,South,Puma Store A,Online,M,Card,2023-01-27,1.0
81,1527,Sneakers,Footwear,3515.0,1.0,29.0,2495.65,Unknown,North,Unknown,Online,Unknown,Cash,2023-11-16,2.0
84,3900,Cap,Accessories,830.0,3.0,15.0,2415.3,Pune,North,Puma Store B,Online,XL,Cash,2023-04-06,5.0
85,,Shorts,Unknown,1856.0,4.0,0.0,7424.0,Unknown,North,Puma Store B,Online,S,Card,2023-07-30,1.0
87,2227,T-shirt,Apparel,1969.0,3.0,15.0,5198.16,Unknown,North,Puma Store B,Online,L,Card,2023-10-13,4.0
88,1745,Jacket,Apparel,2771.0,4.0,30.0,7758.799999999999,Delhi,North,Puma Store A,Store,XL,Cash,2023-08-23,3.0
,1144,Shorts,Apparel,849.0,2.0,14.0,1460.28,Pune,South,Puma Store C,Online,L,Cash,2023-03-04,3.0
91,1073,T-shirt,Apparel,3507.0,1.0,10.0,3156.3,Bangalore,South,Puma Store A,Online,L,UPI,2023-01-17,1.0
92,2520,Jacket,Apparel,3825.0,4.0,21.0,12087.0,Pune,South,Unknown,Store,S,UPI,2023-10-09,2.0
93,4535,Sneakers,Footwear,11818.0,1.0,24.0,8981.68,Bangalore,West,Puma Store A,Online,M,Card,2023-07-18,3.0
95,4813,Unknown,Apparel,869.0,3.0,5.0,2476.65,Hyderabad,West,Puma Store A,Online,Unknown,Unknown,,3.0
96,4034,Jacket,Apparel,4499.0,2.0,23.0,6928.46,Pune,Unknown,Puma Store B,Unknown,S,UPI,2023-06-20,3.0
97,4922,Unknown,Apparel,4743.0,2.0,16.0,7968.24,Mumbai,South,Unknown,Store,M,UPI,2023-02-21,4.0
98,1059,Jacket,Apparel,3974.0,3.0,21.0,9418.38,Pune,Unknown,Puma Store C,Online,M,UPI,2023-07-22,1.0
101,1754,T-shirt,Apparel,1257.0,3.0,22.0,2941.38,Mumbai,North,Puma Store B,Store,M,UPI,2023-11-27,1.0
104,3868,Cap,Accessories,1440.0,2.0,29.0,2044.8,Bangalore,South,Puma Store A,Online,S,Card,2023-02-16,5.0
109,1775,Jacket,Apparel,3755.0,3.0,0.0,11265.0,Pune,West,Puma Store B,Online,M,Card,2023-04-21,1.0
110,4428,T-shirt,Apparel,4007.0,1.0,8.0,3686.44,Bangalore,West,Puma Store B,Store,Unknown,UPI,,5.0
112,1574,Running Shoes,Footwear,8127.0,2.0,5.0,15441.3,Unknown,Unknown,Puma Store C,Store,M,Cash,2023-12-27,4.0
113,3863,Cap,Accessories,1324.0,4.0,10.0,4766.400000000001,Pune,South,Puma Store C,Store,Unknown,Card,2023-04-29,3.0
114,3538,Sneakers,Footwear,6081.0,2.0,30.0,8513.4,Pune,North,Puma Store A,Store,S,UPI,2023-03-11,4.0
117,1937,Sneakers,Footwear,10165.0,3.0,3.0,29580.15,Mumbai,South,Puma Store C,Store,L,Card,2023-04-05,2.0
,1294,Jacket,Apparel,1559.0,1.0,19.0,1262.7900000000002,Delhi,North,Unknown,Online,L,Card,2023-04-02,5.0
,2513,Sneakers,Footwear,5702.0,3.0,16.0,14369.04,Mumbai,South,Puma Store B,Online,XL,Cash,2023-09-30,3.0
121,2425,Jacket,Apparel,1434.0,3.0,15.0,4086.9,Mumbai,Unknown,Puma Store C,Online,S,Card,2023-12-19,3.0
124,4051,T-shirt,Apparel,2171.0,3.0,26.0,4819.62,Pune,South,Puma Store A,Online,S,Card,,5.0
127,2513,Jacket,Apparel,3955.0,4.0,3.0,15345.4,Bangalore,South,Puma Store A,Online,M,Card,2023-12-02,1.0
128,1947,Running Shoes,Footwear,7416.0,3.0,15.0,16241.04,Mumbai,South,Puma Store C,Online,XL,UPI,2023-05-24,2.0
129,2909,Sneakers,Footwear,3204.0,2.0,13.0,5574.96,Unknown,South,Puma Store B,Online,S,UPI,2023-05-13,3.0
130,2999,T-shirt,Apparel,4423.0,2.0,19.0,7165.26,Delhi,North,Puma Store A,Online,Unknown,Cash,2023-06-07,5.0
131,3089,Jacket,Apparel,3914.0,1.0,16.0,3287.76,Hyderabad,South,Puma Store B,Unknown,M,UPI,,2.0
132,2608,Running Shoes,Footwear,4265.0,3.0,15.0,11387.55,Bangalore,West,Puma Store C,Store,M,UPI,2023-09-14,1.0
133,1829,T-shirt,Unknown,1588.0,1.0,10.0,1429.2,Delhi,South,Unknown,Online,XL,Cash,2023-12-05,3.0
134,4887,Cap,Accessories,976.0,4.0,10.0,3513.6,Mumbai,West,Unknown,Online,XL,UPI,2023-07-18,5.0
135,1776,Shorts,Apparel,1076.0,3.0,25.0,2421.0,Unknown,North,Unknown,Store,Unknown,Cash,2023-12-30,5.0
,1553,Sneakers,Footwear,11489.0,1.0,15.0,9995.43,Hyderabad,South,Puma Store B,Store,L,Card,2023-11-09,1.0
137,2315,Jacket,Apparel,2193.0,1.0,5.0,2083.35,Hyderabad,West,Puma Store A,Online,S,Card,2023-10-15,4.0
138,4597,Running Shoes,Footwear,5226.0,2.0,28.0,7525.44,Hyderabad,West,Puma Store B,Online,XL,Cash,2023-01-12,5.0
140,3838,Running Shoes,Footwear,6095.0,3.0,26.0,13530.9,Mumbai,West,Unknown,Unknown,XL,Card,2023-08-08,1.0
142,2152,Jacket,Apparel,1635.0,1.0,15.0,1389.75,Mumbai,North,Puma Store C,Unknown,M,UPI,2023-07-08,5.0
144,,Unknown,Apparel,2255.0,4.0,5.0,8569.0,Delhi,North,Puma Store C,Store,S,UPI,2023-07-30,1.0
145,1189,Shorts,Apparel,3483.0,3.0,19.0,8463.69,Bangalore,North,Unknown,Store,XL,Cash,2023-05-14,3.0
146,3372,T-shirt,Apparel,1003.0,4.0,15.0,3530.56,Delhi,West,Puma Store B,Store,S,UPI,2023-12-03,3.0
147,3045,Shorts,Apparel,1254.0,2.0,13.0,2181.96,Delhi,North,Puma Store A,Online,L,Card,2023-09-20,5.0
,3622,Running Shoes,Footwear,9163.0,4.0,1.0,36285.48,Mumbai,South,Puma Store A,Store,Unknown,Card,2023-03-28,4.0
150,2545,T-shirt,Apparel,3151.0,4.0,19.0,10209.24,Mumbai,South,Puma Store C,Store,S,Unknown,2023-10-15,1.0
151,1189,T-shirt,Apparel,4038.0,1.0,6.0,3795.72,Delhi,West,Puma Store C,Store,XL,Unknown,2023-02-03,4.0
153,4690,Shorts,Apparel,1504.0,2.0,26.0,2225.92,Mumbai,West,Puma Store B,Store,M,Card,2023-04-24,2.0
154,3290,Unknown,Apparel,1712.0,3.0,30.0,3595.2,Pune,South,Puma Store A,Online,L,Cash,2023-08-10,3.0
156,,Shorts,Apparel,2398.0,2.0,19.0,3884.76,Hyderabad,South,Unknown,Store,L,UPI,2023-04-29,5.0
158,2798,Sneakers,Footwear,4526.0,2.0,6.0,8508.88,Hyderabad,South,Puma Store C,Online,S,Cash,2023-01-04,1.0
159,2120,Shorts,Apparel,1860.0,4.0,29.0,5282.4,Delhi,West,Puma Store B,Store,L,Cash,2023-01-10,3.0
160,,Sneakers,Footwear,4096.0,2.0,26.0,6062.08,Hyderabad,South,Puma Store C,Store,M,Cash,2023-01-17,4.0
161,1052,Jacket,Apparel,2059.0,1.0,1.0,2038.41,Unknown,West,Puma Store B,Online,L,UPI,2023-11-25,3.0
163,2338,Shorts,Apparel,4588.0,3.0,29.0,9772.44,Pune,South,Puma Store B,Online,XL,Cash,2023-08-27,3.0
164,4896,Unknown,Unknown,4851.0,2.0,23.0,7470.54,Pune,North,Puma Store B,Online,S,UPI,2023-09-23,1.0
,4488,T-shirt,Apparel,2168.0,1.0,21.0,1712.72,Pune,West,Puma Store B,Online,XL,UPI,2023-03-03,4.0
166,2720,T-shirt,Apparel,4854.0,1.0,1.0,4805.46,Hyderabad,West,Puma Store A,Store,M,Card,2023-01-31,4.0
168,4346,Jacket,Unknown,876.0,2.0,27.0,1278.96,Pune,South,Puma Store B,Store,M,UPI,2023-12-04,1.0
170,3290,Shorts,Apparel,2029.0,4.0,6.0,7629.04,Hyderabad,North,Puma Store C,Unknown,L,UPI,2023-01-28,3.0
171,2627,Running Shoes,Footwear,11763.0,4.0,5.0,44699.4,Pune,North,Puma Store C,Store,M,Unknown,2023-11-25,3.0
172,,Cap,Accessories,1087.0,3.0,20.0,2608.8,Hyderabad,North,Puma Store B,Online,S,Card,2023-11-10,3.0
173,3149,Jacket,Unknown,4571.0,4.0,15.0,16272.76,Unknown,Unknown,Puma Store C,Store,L,Card,2024-01-01,3.0
,2494,Sneakers,Footwear,4267.0,4.0,12.0,15019.84,Unknown,West,Puma Store C,Online,M,Card,2023-12-22,3.0
175,1959,Running Shoes,Footwear,9959.0,2.0,19.0,16133.580000000002,Mumbai,North,Puma Store C,Store,L,Card,2023-01-07,5.0
176,3671,Cap,Accessories,1100.0,3.0,1.0,3267.0,Mumbai,North,Unknown,Store,S,Cash,2023-05-10,3.0
177,4890,Sneakers,Footwear,3207.0,4.0,1.0,12699.72,Bangalore,North,Puma Store A,Store,M,Card,,3.0
179,2091,T-shirt,Apparel,2260.0,4.0,17.0,7503.2,Bangalore,West,Puma Store B,Online,Unknown,Cash,2023-02-03,5.0
180,4548,Sneakers,Footwear,7520.0,3.0,5.0,21432.0,Delhi,South,Puma Store C,Unknown,Unknown,Unknown,2023-01-08,3.0
181,4717,Running Shoes,Footwear,6271.0,2.0,22.0,9782.76,Hyderabad,Unknown,Puma Store C,Store,M,Cash,2023-01-07,3.0
182,4044,Jacket,Apparel,805.0,3.0,27.0,1762.95,Delhi,Unknown,Puma Store B,Online,S,Cash,2023-10-19,4.0
183,1749,Shorts,Apparel,3318.0,4.0,30.0,9290.4,Mumbai,North,Puma Store C,Unknown,XL,Card,2023-05-05,2.0
184,2722,Jacket,Apparel,3200.0,1.0,16.0,2688.0,Delhi,South,Puma Store A,Online,XL,UPI,2023-09-22,5.0
185,1301,Cap,Accessories,1753.0,2.0,9.0,3190.46,Pune,Unknown,Unknown,Online,Unknown,Cash,,1.0
187,4833,Cap,Accessories,1805.0,2.0,16.0,3032.4,Bangalore,South,Puma Store C,Store,Unknown,Cash,2023-04-08,2.0
,2668,T-shirt,Apparel,1371.0,4.0,26.0,4058.16,Pune,South,Unknown,Store,L,Card,2023-03-26,4.0
189,3030,Running Shoes,Footwear,5475.0,3.0,17.0,13632.75,Delhi,Unknown,Puma Store A,Online,S,Card,2023-02-02,4.0
190,3621,Running Shoes,Footwear,5136.0,3.0,9.0,14021.28,Delhi,South,Puma Store C,Unknown,S,Card,2023-11-22,4.0
191,2037,Running Shoes,Footwear,4430.0,4.0,10.0,15948.0,Hyderabad,West,Puma Store C,Online,L,Card,2023-10-26,3.0
192,1949,Unknown,Accessories,1494.0,2.0,18.0,2450.1600000000003,Mumbai,South,Unknown,Online,L,Cash,2023-10-05,3.0
,2585,Running Shoes,Footwear,10405.0,3.0,16.0,26220.6,Mumbai,South,Puma Store C,Store,S,Card,2023-09-25,5.0
194,2600,Jacket,Apparel,1998.0,4.0,15.0,5754.24,Pune,South,Puma Store A,Online,M,Card,2023-04-12,4.0
195,4569,Cap,Accessories,638.0,1.0,15.0,586.96,Bangalore,West,Unknown,Online,Unknown,Card,2023-06-24,1.0
197,2744,Unknown,Footwear,6454.0,1.0,16.0,5421.36,Delhi,Unknown,Puma Store C,Store,XL,Card,2023-05-19,3.0
199,,Jacket,Unknown,1976.0,3.0,26.0,4386.72,Delhi,North,Puma Store A,Online,XL,UPI,,4.0
201,,T-shirt,Apparel,4631.0,3.0,15.0,12364.77,Mumbai,South,Puma Store A,Store,S,UPI,,4.0
203,1056,Cap,Accessories,1388.0,4.0,9.0,5052.320000000001,Delhi,West,Puma Store A,Store,M,Cash,2023-03-26,1.0
204,4850,Unknown,Apparel,1401.0,1.0,13.0,1218.87,Bangalore,North,Puma Store C,Online,S,Unknown,2023-04-24,2.0
206,1719,Unknown,Unknown,1873.0,2.0,28.0,2697.12,Bangalore,North,Puma Store A,Online,S,Unknown,2023-10-03,1.0
207,3730,Jacket,Apparel,2642.0,4.0,3.0,10250.96,Pune,West,Puma Store B,Store,M,UPI,2023-04-12,3.0
208,2710,Cap,Accessories,990.0,4.0,15.0,2890.8,Pune,North,Puma Store A,Online,M,Card,2023-02-07,4.0
211,3261,Shorts,Apparel,2854.0,2.0,10.0,5137.2,Hyderabad,Unknown,Puma Store C,Store,Unknown,UPI,2023-07-08,5.0
212,1999,Cap,Accessories,902.0,4.0,4.0,3463.68,Hyderabad,West,Puma Store B,Store,L,Card,2023-01-10,3.0
213,2944,T-shirt,Apparel,3977.0,4.0,24.0,12090.08,Delhi,North,Unknown,Online,M,Unknown,2023-01-03,4.0
214,3108,Cap,Accessories,573.0,2.0,13.0,997.02,Unknown,West,Puma Store C,Online,L,UPI,2023-02-21,1.0
215,1031,Shorts,Apparel,4699.0,3.0,25.0,10572.75,Hyderabad,North,Puma Store B,Online,Unknown,Cash,2023-10-03,1.0
216,3638,Unknown,Apparel,1936.0,3.0,9.0,5285.28,Mumbai,Unknown,Puma Store B,Store,M,Cash,2023-01-27,4.0
217,2654,Sneakers,Footwear,10019.0,4.0,15.0,33263.08,Pune,North,Puma Store A,Online,S,UPI,2023-04-19,3.0
220,4279,Cap,Accessories,674.0,1.0,2.0,660.52,Bangalore,South,Puma Store C,Unknown,L,Unknown,2023-11-04,3.0
221,1903,Shorts,Apparel,3025.0,1.0,20.0,2420.0,Unknown,South,Puma Store A,Store,L,UPI,2023-04-04,3.0
222,3870,Unknown,Accessories,1007.0,2.0,20.0,1611.2,Mumbai,South,Puma Store B,Unknown,M,Unknown,2023-07-23,2.0
224,4873,Unknown,Accessories,565.0,2.0,0.0,1130.0,Bangalore,West,Unknown,Store,S,Cash,2023-03-15,3.0
225,3858,Sneakers,Unknown,9259.0,2.0,9.0,16851.38,Delhi,West,Puma Store C,Online,L,UPI,2023-07-06,5.0
227,3093,Jacket,Apparel,2553.0,4.0,15.0,8680.199999999999,Hyderabad,North,Puma Store C,Store,XL,Cash,2023-02-05,3.0
229,2673,Sneakers,Footwear,9578.0,4.0,14.0,32948.32,Delhi,South,Unknown,Store,M,Cash,2023-09-02,5.0
,2000,Unknown,Apparel,4585.0,2.0,16.0,7702.799999999999,Unknown,North,Puma Store C,Unknown,XL,Card,2023-05-16,4.0
231,3825,Unknown,Unknown,3754.0,4.0,28.0,10811.52,Bangalore,North,Unknown,Online,XL,Card,2023-11-04,3.0
232,4983,Shorts,Apparel,3804.0,4.0,16.0,12781.44,Hyderabad,North,Puma Store B,Online,L,UPI,2023-12-28,4.0
234,1973,Cap,Accessories,997.0,4.0,10.0,3589.2000000000003,Delhi,Unknown,Puma Store C,Unknown,M,UPI,,1.0
235,4419,Cap,Unknown,507.0,1.0,24.0,385.32,Mumbai,West,Unknown,Unknown,XL,UPI,2023-09-13,1.0
236,1231,Cap,Accessories,610.0,3.0,24.0,1390.8,Hyderabad,North,Puma Store B,Store,Unknown,Unknown,2023-01-25,2.0
237,3692,Cap,Accessories,1379.0,2.0,10.0,2482.2000000000003,Hyderabad,West,Puma Store A,Online,S,UPI,2023-03-11,3.0
,2839,T-shirt,Apparel,3832.0,4.0,17.0,12722.24,Delhi,West,Puma Store C,Store,S,Card,2023-03-16,5.0
239,1707,Jacket,Apparel,4111.0,2.0,14.0,7070.92,Bangalore,North,Puma Store C,Online,XL,Cash,2023-04-13,1.0
240,3360,T-shirt,Apparel,960.0,2.0,23.0,1478.4,Hyderabad,North,Unknown,Store,Unknown,Unknown,,4.0
241,2548,Running Shoes,Footwear,4911.0,4.0,2.0,19251.12,Unknown,West,Puma Store C,Store,XL,Card,2023-04-27,4.0
243,3501,Running Shoes,Unknown,4757.0,3.0,2.0,13985.58,Unknown,North,Puma Store B,Online,L,Card,2023-03-04,4.0
247,,Cap,Accessories,866.0,4.0,15.0,3221.52,Pune,North,Puma Store C,Online,XL,Card,2023-12-07,1.0
248,1519,Unknown,Footwear,5563.0,2.0,12.0,9790.88,Pune,West,Puma Store A,Online,M,Card,2023-08-17,3.0
249,1428,Cap,Accessories,1230.0,4.0,6.0,4624.8,Mumbai,West,Puma Store A,Store,M,Cash,2023-09-03,1.0
,3622,Shorts,Unknown,3548.0,3.0,15.0,9792.48,Mumbai,West,Puma Store B,Online,L,Card,2023-12-24,2.0
251,3499,T-shirt,Apparel,975.0,4.0,10.0,3510.0,Pune,South,Puma Store A,Online,Unknown,Cash,2023-05-09,1.0
252,2515,Running Shoes,Footwear,11745.0,1.0,11.0,10453.05,Unknown,West,Puma Store A,Store,L,Unknown,2023-10-31,3.0
253,1099,Cap,Accessories,1914.0,3.0,14.0,4938.12,Unknown,North,Puma Store C,Online,L,Card,2023-01-22,3.0
255,4095,Jacket,Apparel,2557.0,2.0,18.0,4193.4800000000005,Pune,North,Puma Store A,Online,L,Cash,2023-11-10,1.0
,1320,Sneakers,Footwear,6927.0,1.0,17.0,5749.41,Unknown,South,Puma Store B,Store,M,Card,2023-10-04,2.0
257,3899,T-shirt,Apparel,4541.0,4.0,17.0,15076.12,Mumbai,North,Puma Store B,Unknown,L,UPI,2023-08-29,5.0
258,4035,Cap,Accessories,1744.0,2.0,27.0,2546.24,Pune,South,Puma Store B,Store,XL,UPI,2023-07-03,5.0
259,4142,Running Shoes,Footwear,5735.0,1.0,26.0,4243.9,Mumbai,North,Puma Store C,Online,L,UPI,2023-06-17,1.0
260,,Cap,Accessories,1684.0,4.0,1.0,6668.64,Delhi,South,Puma Store B,Online,S,Cash,2023-04-25,3.0
261,4087,Jacket,Apparel,2476.0,2.0,18.0,4060.64,Mumbai,South,Puma Store B,Store,XL,Card,2023-05-16,4.0
262,2516,Shorts,Apparel,4224.0,3.0,11.0,11278.08,Pune,South,Puma Store B,Online,L,UPI,2023-01-04,2.0
263,2720,T-shirt,Apparel,4544.0,1.0,15.0,3635.2,Delhi,South,Puma Store C,Store,S,Card,2023-08-14,3.0
264,1537,Sneakers,Footwear,10913.0,4.0,4.0,41905.92,Hyderabad,North,Puma Store A,Unknown,XL,Unknown,2023-10-28,3.0
265,4566,T-shirt,Apparel,4494.0,4.0,17.0,14920.08,Pune,West,Puma Store A,Store,M,Card,2023-02-17,1.0
266,,Sneakers,Footwear,4127.0,3.0,25.0,9285.75,Pune,South,Unknown,Unknown,XL,Card,2023-09-08,1.0
268,2408,T-shirt,Apparel,880.0,3.0,15.0,1848.0,Mumbai,South,Puma Store B,Store,M,Card,2023-03-02,3.0
